...1,location_name,diver,buddy,orig_lat,orig_lon,sample_collection_date,year,visibility_m,direction,depth_m,method,block,taxon_id,scientific_name,habitat,transect_decimal_latitude,transect_decimal_longitude,event,orig_scientific_name,rank,kingdom,phylum,class,order,family,genus,size_class,size_count
32,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,lap,Lutjanus apodus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Lutjanus apodus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,7.5,1
32,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,lap,Lutjanus apodus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Lutjanus apodus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,10,14
32,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,lap,Lutjanus apodus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Lutjanus apodus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,12.5,1
32,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,lap,Lutjanus apodus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Lutjanus apodus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,15,2
33,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,lgr,Lutjanus griseus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Lutjanus griseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,5,9
33,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,lgr,Lutjanus griseus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Lutjanus griseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,7.5,14
34,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,lgr,Lutjanus griseus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Lutjanus griseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,5,2
34,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,lgr,Lutjanus griseus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Lutjanus griseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,7.5,5
34,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,lgr,Lutjanus griseus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Lutjanus griseus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Lutjanidae,Lutjanus,10,6
38,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sis,Scarus iseri,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,5,39
38,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sis,Scarus iseri,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,7.5,8
38,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sis,Scarus iseri,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,10,1
39,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,sis,Scarus iseri,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,2.5,22
39,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,sis,Scarus iseri,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,5,25
39,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,sis,Scarus iseri,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Scarus iseri,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Scarus,7.5,4
40,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sau,Sparisoma aurofrenatum,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma aurofrenatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,2.5,2
41,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sru,Sparisoma rubripinne,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma rubripinne,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,5,5
41,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sru,Sparisoma rubripinne,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma rubripinne,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,7.5,4
41,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sru,Sparisoma rubripinne,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma rubripinne,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,10,1
42,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sru,Sparisoma rubripinne,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma rubripinne,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,12.5,1
43,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,sru,Sparisoma rubripinne,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma rubripinne,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,10,1
43,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,sru,Sparisoma rubripinne,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma rubripinne,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,12.5,1
43,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,sru,Sparisoma rubripinne,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma rubripinne,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,15,1
44,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,svi,Sparisoma viride,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,5,3
44,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,svi,Sparisoma viride,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,7.5,2
44,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,svi,Sparisoma viride,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,10,2
45,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,svi,Sparisoma viride,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,5,1
45,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,svi,Sparisoma viride,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,7.5,3
45,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,svi,Sparisoma viride,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,10,3
45,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,svi,Sparisoma viride,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sparisoma viride,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Scaridae,Sparisoma,12.5,1
46,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,ste,Sphoeroides testudineus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sphoeroides testudineus,Species,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,12.5,1
47,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,ste,Sphoeroides testudineus,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sphoeroides testudineus,Species,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Sphoeroides,15,1
48,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sba,Sphyraena barracuda,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sphyraena barracuda,Species,Animalia,Chordata,Actinopteri,Carangaria incertae sedis,Sphyraenidae,Sphyraena,2.5,1
48,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sba,Sphyraena barracuda,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sphyraena barracuda,Species,Animalia,Chordata,Actinopteri,Carangaria incertae sedis,Sphyraenidae,Sphyraena,5,1
48,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sba,Sphyraena barracuda,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sphyraena barracuda,Species,Animalia,Chordata,Actinopteri,Carangaria incertae sedis,Sphyraenidae,Sphyraena,7.5,1
49,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,sba,Sphyraena barracuda,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Sphyraena barracuda,Species,Animalia,Chordata,Actinopteri,Carangaria incertae sedis,Sphyraenidae,Sphyraena,10,1
50,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sva,Stegastes variabilis,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Stegastes variabilis,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,5
51,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sva,Stegastes variabilis,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Stegastes variabilis,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,1
52,Blueground Mangrove,Zach Foltz,Scott Jones,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,2,sva,Stegastes variabilis,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Stegastes variabilis,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Stegastes,5,7
55,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,sno,Strongylura notata notata,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Strongylura notata,Species,Animalia,Chordata,Actinopteri,Beloniformes,Belonidae,Strongylura,10,3
56,Blueground Mangrove,Scott Jones,Zach Foltz,16.80807,-88.14677,9/18/2015,2015,5,E,2,1,1,tbi,Thalassoma bifasciatum,Mangrove,16.80807,-88.1468,Blueground Mangrove_2015,Thalassoma bifasciatum,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Thalassoma,5,1
57,CBC House Reef,Scott Jones,Zach Foltz,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,1,asa,Abudefduf saxatilis,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Abudefduf saxatilis,Species,Animalia,Chordata,Actinopteri,Ovalentaria incertae sedis,Pomacentridae,Abudefduf,7.5,11
59,CBC House Reef,Scott Jones,Zach Foltz,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,1,aba,Acanthurus bahianus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Acanthurus bahianus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,5,1
59,CBC House Reef,Scott Jones,Zach Foltz,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,1,aba,Acanthurus bahianus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Acanthurus bahianus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,7.5,5
59,CBC House Reef,Scott Jones,Zach Foltz,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,1,aba,Acanthurus bahianus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Acanthurus bahianus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,10,4
60,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,ach,Acanthurus chirurgus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Acanthurus chirurgus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,7.5,2
60,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,ach,Acanthurus chirurgus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Acanthurus chirurgus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,10,2
61,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,aco,Acanthurus coeruleus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Acanthurus coeruleus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,2.5,1
61,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,aco,Acanthurus coeruleus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Acanthurus coeruleus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,5,1
62,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,atr,Acanthurus tractus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Acanthurus tractus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,5,2
62,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,atr,Acanthurus tractus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Acanthurus tractus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,7.5,6
62,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,atr,Acanthurus tractus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Acanthurus tractus,Species,Animalia,Chordata,Actinopteri,Acanthuriformes,Acanthuridae,Acanthurus,10,2
64,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,bvt,Balistes vetula,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Balistes vetula,Species,Animalia,Chordata,Actinopteri,Tetraodontiformes,Balistidae,Balistes,20,1
65,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,bru,Bodianus rufus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Bodianus rufus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Labridae,Bodianus,25,1
66,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,ccal,Calamus calamus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Calamus calamus,Species,Animalia,Chordata,Actinopteri,Eupercaria incertae sedis,Sparidae,Calamus,12.5,1
67,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,cpu,Cantherhines pullus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Cantherhines pullus,Species,Animalia,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Cantherhines,10,1
68,CBC House Reef,Scott Jones,Zach Foltz,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,1,cpu,Cantherhines pullus,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Cantherhines pullus,Species,Animalia,Chordata,Actinopteri,Tetraodontiformes,Monacanthidae,Cantherhines,7.5,2
69,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,cro,Canthigaster rostrata,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Canthigaster rostrata,Species,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,5,3
70,CBC House Reef,Scott Jones,Zach Foltz,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,1,cro,Canthigaster rostrata,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Canthigaster rostrata,Species,Animalia,Chordata,Actinopteri,Tetraodontiformes,Tetraodontidae,Canthigaster,5,3
71,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,ccr,Cephalopholis cruentata,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Cephalopholis cruentata,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Cephalopholis,5,1
71,CBC House Reef,Zach Foltz,Scott Jones,16.80126,-88.08306,9/19/2015,2015,20,W,4,1,2,ccr,Cephalopholis cruentata,Patch Reef,16.80126,-88.0831,CBC House Reef_2015,Cephalopholis cruentata,Species,Animalia,Chordata,Actinopteri,Perciformes,Serranidae,Cephalopholis,7.5,3
